user_id,item_id,category,action,timestamp,price,city_level
10102,20181,美妆,view,1750268996,619.09,1
10435,20012,家电,cart,1750347764,3706.8,1
10348,20082,数码配件,view,1750262114,63.41,1
10270,20028,数码配件,view,1750375163,302.56,3
10106,20002,数码配件,view,1750277726,252.14,1
10071,20089,家电,view,1750245558,2361.0,1
10188,20103,图书,view,1750298904,69.39,2
10020,20122,数码配件,view,1750325235,69.55,3
10102,20185,手机,buy,1750349514,4892.67,2
10121,20075,美妆,view,1750356149,703.19,1
10466,20129,美妆,view,1750280661,562.88,1
10214,20107,家电,cart,1750323658,2520.5,3
10330,20155,图书,view,1750274786,66.19,3
10458,20081,美妆,view,1750249662,526.39,3
10087,20076,美妆,view,1750275565,423.58,3
10372,20001,美妆,view,1750219463,579.23,1
10099,20126,手机,cart,1750222150,5005.82,1
10359,20134,数码配件,cart,1750376619,191.61,2
10151,20025,运动户外,cart,1750242252,842.85,2
10130,20087,家电,view,1750273676,3245.47,3
10149,20015,数码配件,view,1750299695,312.59,1
10308,20150,家电,view,1750217151,1363.64,1
10257,20167,家电,view,1750315466,4168.32,3
10343,20187,手机,view,1750327496,5979.44,3
10491,20072,图书,buy,1750207809,131.9,3
10413,20031,美妆,view,1750274746,719.35,3
10293,20014,图书,view,1750323740,76.52,1
10385,20140,美妆,cart,1750336025,284.37,1
10191,20004,数码配件,buy,1750283035,441.73,3
10443,20073,数码配件,view,1750247149,118.78,3
10276,20051,数码配件,buy,1750332885,319.53,1
10160,20076,手机,buy,1750285412,7393.61,1
10459,20168,手机,view,1750225445,5836.78,1
10313,20180,美妆,view,1750344445,148.45,1
10021,20109,家电,view,1750248087,4787.39,2
10252,20177,数码配件,cart,1750260321,,3
10235,20142,美妆,view,1750309393,599.06,3
10344,20105,美妆,view,1750323154,729.73,1
10048,20126,家电,view,1750359021,2352.34,3
10474,20006,家电,view,1750370239,,1
10058,20039,家电,view,1750291419,1125.65,1
10169,20155,数码配件,view,1750260960,351.04,3
10475,20159,家电,cart,1750355850,4529.53,2
10187,20098,家电,cart,1750254714,4229.99,1
10463,20142,手机,view,1750312567,4771.49,2
10270,20084,美妆,view,1750374192,557.42,1
10189,20197,手机,view,1750233444,4696.51,1
10445,20064,家电,view,1750315393,2794.45,1
10174,20131,图书,view,1750224561,133.68,2
10445,20010,数码配件,view,1750346511,343.47,1
10050,20107,手机,buy,1750248397,7243.48,2
10363,20025,运动户外,view,1750220170,1064.65,1
10054,20188,运动户外,view,1750324077,590.42,2
10243,20164,运动户外,view,1750350491,930.51,3
10319,20150,美妆,view,1750261868,232.93,1
10130,20084,数码配件,cart,1750287009,77.43,1
10484,20167,手机,view,1750344031,5514.25,1
10306,20150,手机,buy,1750253512,3400.56,1
10134,20122,数码配件,view,1750310647,437.82,1
10020,20143,数码配件,view,1750367167,317.53,1
10328,20188,运动户外,view,1750287734,765.23,2
10166,20067,家电,view,1750274429,2256.74,2
10273,20103,家电,view,1750287683,2199.99,1
10387,20079,手机,view,1750231009,7992.27,1
10088,20158,数码配件,view,1750296290,169.34,1
10315,20052,家电,view,1750347201,1630.99,3
10013,20105,图书,view,1750376235,148.34,3
10241,20152,手机,view,1750231954,5773.01,1
10264,20043,图书,view,1750349824,33.91,1
10345,20139,图书,view,1750294684,47.38,1
10052,20089,美妆,view,1750332865,284.79,2
10385,20100,手机,view,1750277330,5117.88,1
10339,20096,手机,view,1750273470,3654.1,1
10091,20008,美妆,view,1750351838,593.97,1
10366,20011,手机,view,1750243873,7415.53,3
10443,20068,手机,cart,1750243621,5912.55,2
10454,20181,家电,view,1750215258,2458.61,2
10427,20181,家电,view,1750297514,3667.73,3
10263,20027,运动户外,buy,1750266859,949.48,1
10430,20055,家电,cart,1750291880,1099.15,2
