id,ºéË®¸ÅÂÊ,
1117957,0.537020075,
1117958,0.516105502, 
1117959,0.458334374,
1117960,0.467206398,
1117961,0.492531958,
1117962,0.49316602,
1117963,0.516786767,
1117964,0.530347515,
1117965,0.49147035,
1117966,0.502002667,
1117967,0.486019787,
1117968,0.441989547,
1117969,0.463374658,
1117970,0.507081601,
1117971,0.52322775,
1117972,0.441718624,
1117973,0.479175724,
1117974,0.513922544,
1117975,0.522716166,
1117976,0.490905142,
1117977,0.526770279,
1117978,0.518070662,
1117979,0.485906754,
1117980,0.521058757,
1117981,0.515847122,
1117982,0.503972472,
1117983,0.529475439,
1117984,0.522851576,
1117985,0.521572576,
1117986,0.491870287,
1117987,0.490914652,
1117988,0.543862214,
1117989,0.500127904,
1117990,0.467685166,
1117991,0.512340041,
1117992,0.457046867,
1117993,0.560818408,
1117994,0.508429333,
1117995,0.518095697,
1117996,0.517942871,
1117997,0.510275929,
1117998,0.508363236,
1117999,0.501441433,
1118000,0.491688384,
1118001,0.546887988,
1118002,0.521183147,
1118003,0.4832836,
1118004,0.517565506,
1118005,0.528267979,
1118006,0.449155629,
1118007,0.47914259,
1118008,0.478399285,
1118009,0.502805025,
1118010,0.480663462,
1118011,0.512219716,
1118012,0.513208268,
1118013,0.480665555,
1118014,0.497851043,
1118015,0.517734659,
1118016,0.477824011,
1118017,0.499648552,
1118018,0.486546086,
1118019,0.506641909,
1118020,0.463827601,
1118021,0.487894713,
1118022,0.497852138,
1118023,0.468204435,
1118024,0.452169478,
1118025,0.506258439,
1118026,0.506602439,
1118027,0.442183694,
1118028,0.537307183,
1118029,0.502591288,
1118030,0.525270103,
1118031,0.498867052,
1118032,0.491954019,
1118033,0.528968276,
1118034,0.507522379,
1118035,0.502024595,
1118036,0.518192338,
1118037,0.488493709,
1118038,0.490191178,
1118039,0.458853967,
1118040,0.489560373,
1118041,0.507777052,
1118042,0.532287765,
1118043,0.452578997,
1118044,0.475469403,
1118045,0.540002868,
1118046,0.465239979,
1118047,0.519517454,
1118048,0.512826345,
